,base,clouds,cod,coord,dt,id,main,name,rain,sys,visibility,weather,wind
43,stations,{'all': 48},200,"{'lon': -81.11, 'lat': -5.09}",1541163128,3694112,"{'temp': 65.23, 'pressure': 1012.05, 'humidity': 88, 'temp_min': 65.23, 'temp_max': 65.23, 'sea_level': 1027.41, 'grnd_level': 1012.05}",Paita,,"{'message': 0.0037, 'country': 'PE', 'sunrise': 1541156342, 'sunset': 1541200616}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 5.39, 'deg': 111.001}"
44,stations,{'all': 75},200,"{'lon': -38.6, 'lat': -3.71}",1541160000,6320062,"{'temp': 86, 'pressure': 1013, 'humidity': 62, 'temp_min': 86, 'temp_max': 86}",Vila Velha,,"{'type': 1, 'id': 4498, 'message': 0.0032, 'country': 'BR', 'sunrise': 1541146229, 'sunset': 1541190323}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 17.22, 'deg': 90}"
45,stations,{'all': 0},200,"{'lon': -104.67, 'lat': 23.99}",1541163164,4011743,"{'temp': 38.82, 'pressure': 819.94, 'humidity': 78, 'temp_min': 38.82, 'temp_max': 38.82, 'sea_level': 1030.73, 'grnd_level': 819.94}",Constitucion,,"{'message': 0.0031, 'country': 'MX', 'sunrise': 1541163947, 'sunset': 1541204299}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 4.16, 'deg': 331.501}"
46,stations,{'all': 8},200,"{'lon': 0.49, 'lat': 12.65}",1541163368,2360541,"{'temp': 98.76, 'pressure': 990.24, 'humidity': 34, 'temp_min': 98.76, 'temp_max': 98.76, 'sea_level': 1021.81, 'grnd_level': 990.24}",Gayeri,,"{'message': 0.0029, 'country': 'BF', 'sunrise': 1541137903, 'sunset': 1541179875}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]","{'speed': 3.6, 'deg': 111.501}"
47,stations,{'all': 40},200,"{'lon': 57.66, 'lat': -20.01}",1541160000,934479,"{'temp': 80.6, 'pressure': 1016, 'humidity': 69, 'temp_min': 80.6, 'temp_max': 80.6}",Grand Gaube,,"{'type': 1, 'id': 6729, 'message': 0.0035, 'country': 'MU', 'sunrise': 1541122022, 'sunset': 1541168339}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 9.17, 'deg': 130}"
48,stations,{'all': 12},200,"{'lon': -60.63, 'lat': -9.17}",1541163368,3665202,"{'temp': 81.57, 'pressure': 1010.51, 'humidity': 88, 'temp_min': 81.57, 'temp_max': 81.57, 'sea_level': 1024.37, 'grnd_level': 1010.51}",Aripuana,,"{'message': 0.0031, 'country': 'BR', 'sunrise': 1541151159, 'sunset': 1541195972}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 3.04, 'deg': 220.001}"
49,stations,{'all': 75},200,"{'lon': 45.1, 'lat': 37.04}",1541160000,121795,"{'temp': 53.6, 'pressure': 1030, 'humidity': 46, 'temp_min': 53.6, 'temp_max': 53.6}",Oshnaviyeh,,"{'type': 1, 'id': 7056, 'message': 0.0032, 'country': 'IR', 'sunrise': 1541129097, 'sunset': 1541167249}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 6.93, 'deg': 20}"
50,stations,{'all': 44},200,"{'lon': 110.28, 'lat': -7.95}",1541163099,1650434,"{'temp': 80.53, 'pressure': 993.81, 'humidity': 65, 'temp_min': 80.53, 'temp_max': 80.53, 'sea_level': 1024.2, 'grnd_level': 993.81}",Bambanglipuro,,"{'message': 0.0082, 'country': 'ID', 'sunrise': 1541110227, 'sunset': 1541154866}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 5.06, 'deg': 147.501}"
51,stations,{'all': 75},200,"{'lon': -86.11, 'lat': 42.79}",1541160960,4996248,"{'temp': 37.42, 'pressure': 1009, 'humidity': 72, 'temp_min': 35.78, 'temp_max': 37.94}",Holland,,"{'type': 1, 'id': 1416, 'message': 0.0039, 'country': 'US', 'sunrise': 1541161231, 'sunset': 1541198091}",16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.7, 'deg': 360}"
52,stations,{'all': 8},200,"{'lon': 167.48, 'lat': -22.67}",1541163080,2137773,"{'temp': 71.49, 'pressure': 1037.01, 'humidity': 100, 'temp_min': 71.49, 'temp_max': 71.49, 'sea_level': 1037.09, 'grnd_level': 1037.01}",Vao,,"{'message': 0.0074, 'country': 'NC', 'sunrise': 1541095475, 'sunset': 1541142175}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 20.49, 'deg': 106.001}"
